,0
421,0.985525
422,0.98555
423,0.985575
424,0.9856
425,0.985625
426,0.98565
427,0.985675
428,0.9857
429,0.985725
430,0.98575
431,0.985775
432,0.9858
433,0.985825
434,0.98585
435,0.985875
436,0.9859
437,0.9859249999999999
438,0.98595
439,0.9859749999999999
440,0.986
441,0.986025
442,0.98605
443,0.986075
444,0.9861
445,0.986125
446,0.98615
447,0.986175
448,0.9862
449,0.986225
450,0.98625
451,0.986275
452,0.9863
453,0.986325
454,0.98635
455,0.986375
456,0.9863999999999999
457,0.986425
458,0.9864499999999999
459,0.986475
460,0.9864999999999999
461,0.986525
462,0.98655
463,0.986575
464,0.9866
465,0.986625
466,0.98665
467,0.986675
468,0.9867
469,0.986725
470,0.98675
471,0.986775
472,0.9868
473,0.986825
474,0.98685
475,0.986875
476,0.9869
477,0.9869249999999999
478,0.98695
479,0.9869749999999999
480,0.987
481,0.987025
482,0.98705
483,0.987075
484,0.9871
485,0.987125
486,0.98715
487,0.987175
488,0.9872
489,0.987225
490,0.98725
491,0.987275
492,0.9873
493,0.987325
494,0.98735
495,0.987375
496,0.9873999999999999
497,0.987425
498,0.9874499999999999
499,0.987475
500,0.9875
501,0.987525
502,0.98755
503,0.987575
504,0.9876
505,0.987625
506,0.98765
507,0.987675
508,0.9877
509,0.987725
510,0.98775
511,0.987775
512,0.9878
513,0.987825
514,0.98785
515,0.987875
516,0.9879
517,0.9879249999999999
518,0.98795
519,0.9879749999999999
520,0.988
521,0.988025
522,0.98805
523,0.988075
524,0.9881
525,0.988125
526,0.98815
527,0.988175
528,0.9882
529,0.988225
530,0.98825
531,0.988275
532,0.9883
533,0.988325
534,0.98835
535,0.988375
536,0.9884
537,0.988425
538,0.9884499999999999
539,0.988475
540,0.9884999999999999
541,0.988525
542,0.98855
543,0.988575
544,0.9886
545,0.988625
546,0.98865
547,0.988675
548,0.9887
549,0.988725
550,0.98875
551,0.988775
552,0.9888
553,0.988825
554,0.98885
555,0.988875
556,0.9889
557,0.9889249999999999
558,0.98895
559,0.9889749999999999
560,0.989
561,0.989025
562,0.98905
563,0.989075
564,0.9891
565,0.989125
566,0.98915
567,0.989175
568,0.9892
569,0.989225
570,0.98925
571,0.989275
572,0.9893
573,0.989325
574,0.98935
575,0.989375
576,0.9894
577,0.989425
578,0.9894499999999999
579,0.989475
580,0.9895
581,0.989525
582,0.98955
583,0.989575
584,0.9896
585,0.989625
586,0.98965
587,0.989675
588,0.9897
589,0.989725
590,0.98975
591,0.989775
592,0.9898
593,0.989825
594,0.98985
595,0.989875
596,0.9899
597,0.9899249999999999
598,0.98995
599,0.9899749999999999
600,0.99
601,0.990025
602,0.99005
603,0.990075
604,0.9901
605,0.990125
606,0.99015
607,0.990175
608,0.9902
609,0.990225
610,0.99025
611,0.990275
612,0.9903
613,0.990325
614,0.99035
615,0.990375
616,0.9904
617,0.990425
618,0.9904499999999999
619,0.990475
620,0.9904999999999999
621,0.990525
622,0.99055
623,0.990575
624,0.9906
625,0.990625
626,0.99065
